Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %
67,1323,67,67,1750.26098714319,717.0625,12.2518269100023
68,1249,68,68,1737.13322624157,721.71875,12.159932583691
69,1239,69,69,1707.68366543355,725.986979166667,11.9537856580348
70,1296,70,70,1740.48385451155,720.5546875,12.1833869815809
71,1206,71,71,1707.52954625248,715.8984375,11.9527068237674
72,1257,72,72,1780.74519679538,716.286458333333,12.4652163775677
73,1377,73,73,1772.49100621849,713.5703125,12.4074370435294
74,1225,74,74,1779.98378804535,722.106770833333,12.4598865163174
75,1185,75,75,1742.65021444927,722.494791666667,12.1985515011449
76,1237,76,76,1736.08955739128,719.778645833333,12.1526269017389
77,1243,77,77,1699.24910182191,717.450520833333,11.8947437127533
78,1171,78,78,1763.33624418993,724.434895833333,12.3433537093295
78.999,1228,79,79,1682.22549672781,725.986979166667,11.7755784770947
80,1302,80,80,1619.88832312378,714.346354166667,11.3392182618665
81.001,1254,81,81,1766.56563607986,717.838541666667,12.365959452559
82.001,1163,82,82,1769.78408634147,717.450520833333,12.3884886043903
82.999,1182,83,83,1785.24467258573,719.390625,12.4967127081001
84,1203,84,84,1631.03785077183,725.986979166667,11.4172649554028
85,1211,85,85,1741.50471605875,716.286458333333,12.1905330124113
86,1135,86,86,1708.19246502886,716.286458333333,11.9573472552021
87,1272,87,87,1762.83301919457,726.375,12.339831134362
88.001,1171,88,88,1765.55946714856,714.734375,12.3589162700399
89,1153,89,89,1690.78614648515,713.958333333333,11.835503025396
90,1210,90,90,1724.69416708032,717.0625,12.0728591695623
91,1195,91,91,1724.89643411217,706.197916666667,12.0742750387852
92,1254,92,92,1694.09661396945,715.122395833333,11.8586762977861
93,1211,93,93,1762.8216150996,715.122395833333,12.3397513056972
94,1199,94,94,1749.15059125893,722.494791666667,12.2440541388125
95.001,1192,95,95,1675.32361556819,715.510416666667,11.7272653089773
95.999,1251,96,96,1750.54844843123,719.002604166667,12.2538391390186
97,1186,97,97,1730.07064438493,722.494791666667,12.1104945106945
98,1188,98,98,1757.66057080603,717.0625,12.3036239956422
99.001,1176,99,99,1801.83418731842,714.346354166667,12.6128393112289
100,1201,100,100,1737.36890249856,710.466145833333,12.1615823174899
101,1157,101,101,1698.8147935457,717.0625,11.8917035548199
102,1197,102,102,1705.53873704857,718.2265625,11.93877115934
102.999,1245,103,103,1737.02693673247,725.598958333333,12.1591885571273
104,1275,104,104,1718.87490088432,714.734375,12.0321243061902
105,1240,105,105,1792.87837528842,723.658854166667,12.5501486270189
106,1221,106,106,1749.08915781857,732.583333333333,12.24362410473
107,1311,107,107,1723.30572231882,719.778645833333,12.0631400562317
108,1254,108,108,1726.61312031903,718.614583333333,12.0862918422332
109,1335,109,109,1681.38696631208,717.838541666667,11.7697087641846
110.001,1216,110,110,1786.77593829734,726.763020833333,12.5074315680814
111,1284,111,111,1796.74766687619,722.106770833333,12.5772336681333
112,1290,112,112,1714.74210278774,723.658854166667,12.0031947195142
113,1307,113,113,1734.39740398839,712.40625,12.1407818279188
114,1194,114,114,1717.79887898607,718.2265625,12.0245921529025
115,1286,115,115,1660.98579896028,728.703125,11.6269005927219
116,1269,116,116,1722.63798102835,713.182291666667,12.0584658671985
117,1263,117,117,1712.1838905524,717.838541666667,11.9852872338668
118,1183,118,118,1719.43705630776,719.778645833333,12.0360593941544
