Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Raw
209.001,89.66666667,209,209,580.0404288,718.2265625,269
210.001,79.66666667,210,210,568.9686495,708.9140625,239
211.001,80.33333333,211,211,580.9354104,707.75,241
212,84.66666667,212,212,548.5515906,706.5859375,254
213.001,76,213,213,623.391178,703.8697917,228
214,81.33333333,214,214,607.1115066,705.421875,244
215.001,79.33333333,215,215,603.2962184,705.8098958,238
216.001,71.33333333,216,216,601.0783065,703.09375,214
217.001,89.66666667,217,217,603.2330687,708.9140625,269
218.001,72.66666667,218,218,581.5982319,703.8697917,218
219,80.66666667,219,219,586.0310043,704.2578125,242
220.001,74,220,220,633.7083661,710.078125,222
221.001,86.66666667,221,221,609.1760753,709.3020833,260
222,79,222,222,593.8329548,703.4817708,237
223,71.33333333,223,223,622.8690106,703.4817708,214
224,80.66666667,224,224,601.7793275,707.75,242
225.001,76.66666667,225,225,603.1665946,708.9140625,230
226.001,83.66666667,226,226,606.415799,706.1979167,251
226.999,83.33333333,227,227,555.9447415,700.3776042,250
228,68,228,228,572.7396326,708.1380208,204
229.001,69.33333333,229,229,606.4971457,705.0338542,208
230.001,82.33333333,230,230,584.7188878,708.5260417,247
231,70,231,231,593.8852025,708.1380208,210
232,82.33333333,232,232,604.1199175,708.9140625,247
233,79,233,233,598.9033969,710.4661458,237
234.001,82.66666667,234,234,562.3103264,702.3177083,248
235.001,84.33333333,235,235,592.4716074,701.1536458,253
236.001,83.33333333,236,236,590.3560457,709.3020833,250
237,75,237,237,518.8688979,706.9739583,225
238.001,79.66666667,238,238,575.3364163,710.8541667,239
239.001,78,239,239,539.9358076,701.5416667,234
240,80.33333333,240,240,566.3756754,707.3619792,241
241,83,241,241,608.1629292,703.8697917,249
242.001,72.66666667,242,242,568.8773521,704.6458333,218
243,76,243,243,597.1558549,709.6901042,228
244.001,75.66666667,244,244,585.8419964,701.1536458,227
245,76.66666667,245,245,567.849535,708.5260417,230
246,87,246,246,591.7258275,703.09375,261
247.001,76.33333333,247,247,625.8638919,704.2578125,229
248,80.66666667,248,248,561.5726432,703.8697917,242
249.001,74.66666667,249,249,587.6352925,706.5859375,224
250,83.33333333,250,250,585.491737,703.09375,250
251.001,69,251,251,548.806324,705.0338542,207
252,73.33333333,252,252,558.4724546,712.7942708,220
253.001,78.66666667,253,253,613.2343982,710.8541667,236
