Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
52,150,52,52,711.630208333333,859.349558319308,6.01544690823516
53,139,53,53,712.40625,831.692883341111,5.82185018338778
54,139,54,54,710.854166666667,858.48648832109,6.00940541824763
54.999,145,55,55,712.018229166667,911.595565718677,6.38116896003074
55.999,134,56,56,708.526041666667,750.783474046085,5.2554843183226
57,121,57,57,705.421875,906.567804182952,6.34597462928066
58,149,58,58,711.630208333333,699.812061583017,4.89868443108112
59.001,122,59,59,708.9140625,844.921894278848,5.91445325995193
60,124,60,60,714.346354166667,902.994710316964,6.32096297221875
61,121,61,61,705.033854166667,897.315406365337,6.28120784455736
62,113,62,62,710.466145833333,842.114696021598,5.89480287215119
63,99,63,63,710.078125,903.520644780748,6.32464451346523
64,96,64,64,710.466145833333,931.889943797638,6.52322960658346
65.001,97,65,65,712.40625,873.020343679343,6.1111424057554
66.002,111,66,66,712.794270833333,888.777477713794,6.22144234399656
67.001,104,67,67,709.302083333333,774.076633586725,5.41853643510708
68.001,119,68,68,706.973958333333,843.771677160522,5.90640174012365
69,111,69,69,715.8984375,864.778906360959,6.05345234452671
70.001,106,70,70,719.390625,786.775279741208,5.50742695818846
70.999,133,71,71,711.2421875,890.08128706198,6.23056900943386
72,155,72,72,708.9140625,885.069018746827,6.19548313122779
73.001,188,73,73,710.078125,849.630425775926,5.94741298043148
74,198,74,74,713.5703125,896.383309942579,6.27468316959806
75.001,226,75,75,710.078125,904.971131420908,6.33479791994635
76.001,252,76,76,711.630208333333,732.16804178713,5.12517629250991
76.999,288,77,77,709.302083333333,865.845238121454,6.06091666685018
78.001,376,78,78,712.018229166667,869.257647966857,6.084803535768
78.999,412,79,79,706.973958333333,868.015183383748,6.07610628368623
80,467,80,80,707.361979166667,855.175952452217,5.98623166716552
81,550,81,81,709.302083333333,929.393560174874,6.50575492122412
82,646,82,82,710.078125,917.02103164422,6.41914722150954
83,703,83,83,702.317708333333,847.547785775863,5.93283450043104
83.999,772,84,84,705.421875,700.014671266,4.900102698862
85,807,85,85,715.122395833333,832.08344919364,5.82458414435548
86.001,842,86,86,703.09375,823.760905950485,5.76632634165339
87.001,900,87,87,709.690104166667,801.092369555125,5.60764658688588
88,781,88,88,708.138020833333,890.640061478596,6.23448043035017
89.001,783,89,89,705.809895833333,760.745699347089,5.32521989542963
89.999,735,90,90,713.182291666667,794.286910873788,5.56000837611651
91.001,704,91,91,708.526041666667,904.296852115619,6.33007796480933
92.001,569,92,92,713.182291666667,882.07834544321,6.17454841810247
93,501,93,93,710.854166666667,848.965299958306,5.94275709970814
94,432,94,94,714.734375,825.623676124945,5.77936573287461
95.001,329,95,95,705.809895833333,945.11511502101,6.61580580514707
96,286,96,96,712.794270833333,805.198827166969,5.63639179016878
97,227,97,97,705.421875,905.896585090546,6.34127609563382
98.001,171,98,98,711.2421875,895.950364349815,6.27165255044871
99,121,99,99,706.973958333333,836.723682312832,5.85706577618983
100,126,100,100,709.690104166667,848.547098800831,5.93982969160582
,109,101,101,,,
,64,102,102,,,
,73,103,103,,,
,49,104,104,,,
,61,105,105,,,
,74,106,106,,,
,45,107,107,,,
,59,108,108,,,
,49,109,109,,,
,55,110,110,,,
,39,111,111,,,
,41,112,112,,,
,49,113,113,,,
,65,114,114,,,
,51,115,115,,,
,43,116,116,,,
,51,117,117,,,
,46,118,118,,,
,47,119,119,,,
,53,120,120,,,
,47,121,121,,,
,53,122,122,,,
,47,123,123,,,
,43,124,124,,,
,56,125,125,,,
,46,126,126,,,
,45,127,127,,,
,37,128,128,,,
,43,129,129,,,
,55,130,130,,,
,53,131,131,,,
,50,132,132,,,
,36,133,133,,,
,56,134,134,,,
,59,135,135,,,
,45,136,136,,,
,60,137,137,,,
,41,138,138,,,
,58,139,139,,,
,46,140,140,,,
,56,141,141,,,
,48,142,142,,,
,59,143,143,,,
,55,144,144,,,
,57,145,145,,,
,61,146,146,,,
,57,147,147,,,
,54,148,148,,,
,50,149,149,,,
,61,150,150,,,
,52,151,151,,,
,89,152,152,,,
,61,153,153,,,
,89,154,154,,,
,69,155,155,,,
,57,156,156,,,
,73,157,157,,,
,56,158,158,,,
,67,159,159,,,
,73,160,160,,,
,66,161,161,,,
,78,162,162,,,
,62,163,163,,,
,53,164,164,,,
,51,165,165,,,
,68,166,166,,,
,52,167,167,,,
,73,168,168,,,
,76,169,169,,,
,52,170,170,,,
,58,171,171,,,
,50,172,172,,,
,57,173,173,,,
,50,174,174,,,
,58,175,175,,,
,56,176,176,,,
,44,177,177,,,
,44,178,178,,,
,52,179,179,,,
,52,180,180,,,
