Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
67,119,67,67,721.71875,1192.15484483412,8.34508391383881
68.001,139,68,68,715.122395833333,1288.10975456948,9.01676828198637
69,102,69,69,720.166666666667,1228.88376391444,8.60218634740111
70,131,70,70,711.2421875,1183.40213014604,8.28381491102226
70.999,149,71,71,713.958333333333,1207.4683975417,8.45227878279188
72,149,72,72,716.674479166667,1212.92403885489,8.49046827198422
73,140,73,73,710.078125,1177.11366724058,8.23979567068403
74.001,172,74,74,713.182291666667,1122.48819695897,7.85741737871277
75,167,75,75,712.018229166667,1216.91724962703,8.51842074738918
76,192,76,76,715.122395833333,1269.0607007659,8.88342490536132
77.001,196,77,77,719.002604166667,1193.47163245603,8.35430142719224
78.001,193,78,78,718.614583333333,1191.22502240673,8.33857515684713
79,210,79,79,712.40625,1124.40771379246,7.87085399654722
79.999,252,80,80,715.8984375,1260.7110499104,8.82497734937277
81,192,81,81,712.794270833333,1191.10308056291,8.33772156394036
82.001,200,82,82,713.182291666667,1193.88909070823,8.35722363495759
83,200,83,83,712.794270833333,1191.575891291,8.341031239037
84,191,84,84,711.630208333333,1285.91440673872,9.00140084717107
85.001,195,85,85,716.286458333333,1216.27381022596,8.51391667158174
86,196,86,86,712.794270833333,1180.87057828876,8.26609404802134
87,177,87,87,711.630208333333,1196.33708170849,8.37435957195945
88,199,88,88,707.361979166667,1147.47441382597,8.03232089678182
89.001,157,89,89,714.734375,1130.32591211699,7.91228138481896
90,162,90,90,720.942708333333,1218.88296148152,8.53218073037065
91,173,91,91,722.106770833333,1215.7286445597,8.51010051191789
92,142,92,92,715.122395833333,1200.54367002542,8.40380569017792
93.001,148,93,93,712.794270833333,1153.39988373969,8.07379918617785
94.001,160,94,94,720.166666666667,1183.95557054098,8.28768899378688
95,187,95,95,711.630208333333,1208.82267226917,8.46175870588422
96,174,96,96,718.2265625,1262.26959075438,8.83588713528066
97,166,97,97,718.614583333333,1266.56839485968,8.86597876401779
98,150,98,98,720.166666666667,1253.14989033938,8.77204923237563
99,146,99,99,720.942708333333,1249.73359361945,8.74813515533618
100,154,100,100,712.40625,1204.10742815428,8.42875199707993
,153,101,101,,,
,144,102,102,,,
,142,103,103,,,
,144,104,104,,,
,148,105,105,,,
,121,106,106,,,
,135,107,107,,,
,143,108,108,,,
,126,109,109,,,
,140,110,110,,,
,142,111,111,,,
,128,112,112,,,
,153,113,113,,,
,164,114,114,,,
,158,115,115,,,
,129,116,116,,,
,136,117,117,,,
,148,118,118,,,
,131,119,119,,,
,150,120,120,,,
,153,121,121,,,
,172,122,122,,,
,153,123,123,,,
,135,124,124,,,
,158,125,125,,,
,157,126,126,,,
,158,127,127,,,
,132,128,128,,,
,162,129,129,,,
,148,130,130,,,
,162,131,131,,,
,141,132,132,,,
,135,133,133,,,
,137,134,134,,,
,158,135,135,,,
,142,136,136,,,
,147,137,137,,,
,153,138,138,,,
,151,139,139,,,
,149,140,140,,,
,146,141,141,,,
,154,142,142,,,
,165,143,143,,,
,165,144,144,,,
,164,145,145,,,
,142,146,146,,,
,163,147,147,,,
,135,148,148,,,
,160,149,149,,,
,141,150,150,,,
,157,151,151,,,
,154,152,152,,,
,167,153,153,,,
,158,154,154,,,
,138,155,155,,,
,159,156,156,,,
,129,157,157,,,
,167,158,158,,,
,142,159,159,,,
,177,160,160,,,
,167,161,161,,,
,174,162,162,,,
,151,163,163,,,
,180,164,164,,,
,168,165,165,,,
,162,166,166,,,
,189,167,167,,,
,157,168,168,,,
,138,169,169,,,
,178,170,170,,,
,166,171,171,,,
,164,172,172,,,
,143,173,173,,,
,160,174,174,,,
,147,175,175,,,
,172,176,176,,,
,199,177,177,,,
,173,178,178,,,
,177,179,179,,,
,183,180,180,,,
,178,181,181,,,
,172,182,182,,,
,183,183,183,,,
,182,184,184,,,
,171,185,185,,,
,178,186,186,,,
,172,187,187,,,
,175,188,188,,,
,171,189,189,,,
,164,190,190,,,
,155,191,191,,,
,170,192,192,,,
,183,193,193,,,
,175,194,194,,,
,170,195,195,,,
,155,196,196,,,
,173,197,197,,,
,207,198,198,,,
,190,199,199,,,
,150,200,200,,,
,165,201,201,,,
,162,202,202,,,
,188,203,203,,,
,162,204,204,,,
,172,205,205,,,
,166,206,206,,,
,165,207,207,,,
,179,208,208,,,
,182,209,209,,,
,174,210,210,,,
,183,211,211,,,
,154,212,212,,,
,158,213,213,,,
,154,214,214,,,
,162,215,215,,,
,150,216,216,,,
,151,217,217,,,
,173,218,218,,,
,161,219,219,,,
,156,220,220,,,
,173,221,221,,,
,165,222,222,,,
,134,223,223,,,
,176,224,224,,,
,154,225,225,,,
,152,226,226,,,
,162,227,227,,,
,153,228,228,,,
,144,229,229,,,
,164,230,230,,,
,171,231,231,,,
,160,232,232,,,
,156,233,233,,,
,166,234,234,,,
,190,235,235,,,
,148,236,236,,,
,171,237,237,,,
,144,238,238,,,
,171,239,239,,,
,162,240,240,,,
,195,241,241,,,
,146,242,242,,,
,151,243,243,,,
,144,244,244,,,
,189,245,245,,,
,151,246,246,,,
,157,247,247,,,
,170,248,248,,,
,179,249,249,,,
,153,250,250,,,
,146,251,251,,,
,173,252,252,,,
,146,253,253,,,
,169,254,254,,,
,153,255,255,,,
,182,256,256,,,
,160,257,257,,,
,171,258,258,,,
,155,259,259,,,
,155,260,260,,,
,144,261,261,,,
,174,262,262,,,
,140,263,263,,,
,160,264,264,,,
,166,265,265,,,
,151,266,266,,,
,156,267,267,,,
,166,268,268,,,
,135,269,269,,,
,158,270,270,,,
,160,271,271,,,
,140,272,272,,,
,156,273,273,,,
,148,274,274,,,
,146,275,275,,,
,150,276,276,,,
,145,277,277,,,
,164,278,278,,,
,148,279,279,,,
,165,280,280,,,
,146,281,281,,,
,153,282,282,,,
,145,283,283,,,
,155,284,284,,,
,152,285,285,,,
,120,286,286,,,
,161,287,287,,,
,163,288,288,,,
,139,289,289,,,
,143,290,290,,,
,147,291,291,,,
,151,292,292,,,
,136,293,293,,,
,145,294,294,,,
,128,295,295,,,
,151,296,296,,,
,143,297,297,,,
,147,298,298,,,
,151,299,299,,,
,143,300,300,,,
,129,301,301,,,
,141,302,302,,,
,138,303,303,,,
,129,304,304,,,
,165,305,305,,,
,140,306,306,,,
,118,307,307,,,
,122,308,308,,,
,133,309,309,,,
,129,310,310,,,
,121,311,311,,,
,133,312,312,,,
,110,313,313,,,
,134,314,314,,,
,120,315,315,,,
,136,316,316,,,
,124,317,317,,,
,131,318,318,,,
,112,319,319,,,
,126,320,320,,,
,119,321,321,,,
,103,322,322,,,
,108,323,323,,,
,97,324,324,,,
,91,325,325,,,
,107,326,326,,,
,106,327,327,,,
,96,328,328,,,
,118,329,329,,,
,109,330,330,,,
,95,331,331,,,
,113,332,332,,,
,104,333,333,,,
,109,334,334,,,
,109,335,335,,,
,119,336,336,,,
,84,337,337,,,
,110,338,338,,,
,108,339,339,,,
,105,340,340,,,
,105,341,341,,,
,92,342,342,,,
,94,343,343,,,
,72,344,344,,,
,100,345,345,,,
,98,346,346,,,
,83,347,347,,,
,82,348,348,,,
,94,349,349,,,
,100,350,350,,,
,94,351,351,,,
,95,352,352,,,
,98,353,353,,,
,95,354,354,,,
,93,355,355,,,
,93,356,356,,,
,86,357,357,,,
,107,358,358,,,
,89,359,359,,,
,96,360,360,,,
,93,361,361,,,
,99,362,362,,,
,101,363,363,,,
,88,364,364,,,
,99,365,365,,,
,94,366,366,,,
,106,367,367,,,
,83,368,368,,,
,72,369,369,,,
,118,370,370,,,
,94,371,371,,,
,88,372,372,,,
,90,373,373,,,
,94,374,374,,,
,85,375,375,,,
,83,376,376,,,
,91,377,377,,,
,90,378,378,,,
,83,379,379,,,
,87,380,380,,,
,94,381,381,,,
,93,382,382,,,
,98,383,383,,,
,93,384,384,,,
,90,385,385,,,
,112,386,386,,,
,89,387,387,,,
,106,388,388,,,
,101,389,389,,,
,95,390,390,,,
,89,391,391,,,
,97,392,392,,,
,103,393,393,,,
,117,394,394,,,
,106,395,395,,,
,115,396,396,,,
,114,397,397,,,
,107,398,398,,,
,114,399,399,,,
,95,400,400,,,
,117,401,401,,,
,109,402,402,,,
,101,403,403,,,
,116,404,404,,,
,94,405,405,,,
,75,406,406,,,
,111,407,407,,,
,98,408,408,,,
,106,409,409,,,
,100,410,410,,,
,95,411,411,,,
,103,412,412,,,
,114,413,413,,,
,128,414,414,,,
,91,415,415,,,
,111,416,416,,,
,132,417,417,,,
,109,418,418,,,
,128,419,419,,,
,115,420,420,,,
,102,421,421,,,
,120,422,422,,,
,105,423,423,,,
,104,424,424,,,
,118,425,425,,,
,128,426,426,,,
,110,427,427,,,
,143,428,428,,,
,129,429,429,,,
,117,430,430,,,
,140,431,431,,,
,152,432,432,,,
,143,433,433,,,
,165,434,434,,,
,146,435,435,,,
,135,436,436,,,
,152,437,437,,,
,142,438,438,,,
,156,439,439,,,
,185,440,440,,,
,174,441,441,,,
,140,442,442,,,
,202,443,443,,,
,199,444,444,,,
,194,445,445,,,
,214,446,446,,,
,229,447,447,,,
,242,448,448,,,
,282,449,449,,,
