Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Raw
281,0.75,281,281,699.6015625,13.02500149,9
282.001,0.833333333,282,282,699.6015625,12.21131752,10
283,1.083333333,283,283,699.6015625,5.549829981,13
284,1.416666667,284,284,700.3776042,7.002338781,17
285.001,0.833333333,285,285,699.6015625,9.01476709,10
286.001,0.5,286,286,699.6015625,7.769172125,6
287,0.916666667,287,287,699.6015625,9.006950664,11
288,0.666666667,288,288,699.6015625,13.312421,8
289.001,1,289,289,699.6015625,14.43871548,12
290,0.666666667,290,290,699.6015625,9.008693389,8
291.001,0.75,291,291,699.6015625,6.661036611,9
292.001,1.083333333,292,292,699.6015625,6.009142309,13
293.001,1.166666667,293,293,699.6015625,17.74851639,14
294,1.083333333,294,294,699.6015625,13.00604911,13
295.001,0.5,295,295,699.6015625,5.550746142,6
296,0.833333333,296,296,699.6015625,5.554922294,10
297,0.666666667,297,297,699.6015625,7.011628786,8
298,0.916666667,298,298,699.6015625,5.553960335,11
299,0.833333333,299,299,699.6015625,10.99679004,10
300.001,0.666666667,300,300,699.6015625,6.001827556,8
301,0.5,301,301,699.6015625,3.994717785,6
302.001,0.666666667,302,302,699.6015625,10.01358643,8
303,0.583333333,303,303,699.6015625,8.008652548,7
303.999,0.5,304,304,699.6015625,8.880014794,6
305,0.666666667,305,305,699.6015625,14.44218504,8
306.001,0.5,306,306,699.9895833,5.553989948,6
307.001,0.75,307,307,699.6015625,5.991976145,9
308.001,0.666666667,308,308,699.6015625,12.01972918,8
309,0.666666667,309,309,699.6015625,11.9952319,8
310.001,1,310,310,699.2135417,14.02755854,12
311.001,0.833333333,311,311,699.9895833,11.07072756,10
312.001,0.75,312,312,699.6015625,6.018000441,9
313,1.083333333,313,313,698.8255208,11.1057421,13
314.001,0.666666667,314,314,698.4375,5.550110897,8
315.001,1.083333333,315,315,699.6015625,7.776271773,13
316.001,0.666666667,316,316,698.4375,10.00229753,8
317.001,0.75,317,317,698.4375,7.775532377,9
318.001,0.333333333,318,318,699.2135417,7.998501881,4
319,0.583333333,319,319,699.6015625,13.00156149,7
320.001,0.916666667,320,320,699.6015625,8.00625048,11
321,0.666666667,321,321,699.2135417,14.43193516,8
322,0.75,322,322,698.8255208,6.665303242,9
323,0.833333333,323,323,698.4375,8.008835347,10
324.001,0.916666667,324,324,698.4375,15.53519754,11
325.001,0.75,325,325,698.8255208,13.01862184,9
326,0.583333333,326,326,698.4375,5.554160844,7
327.001,0.833333333,327,327,699.6015625,12.20800126,10
328.001,0.583333333,328,328,698.4375,13.33154098,7
329,0.5,329,329,699.6015625,3.000180911,6
330.001,1.083333333,330,330,699.6015625,7.775393324,13
331,0.916666667,331,331,699.2135417,11.00485314,11
332.001,0.75,332,332,698.4375,8.881893904,9
333,1,333,333,698.8255208,10.01935439,12
334.001,0.833333333,334,334,699.2135417,8.88845533,10
335,0.833333333,335,335,698.4375,11.10499226,10
336,0.666666667,336,336,698.4375,7.999052112,8
336.999,0.75,337,337,698.4375,11.10898559,9
338,1,338,338,698.8255208,8.999792105,12
