Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s
54.999,25,55,55,699.213541666667,45.0104739372852
56.001,24,56,56,699.6015625,37.6389986077999
57.001,22,57,57,699.6015625,51.0232053537949
58,21,58,58,699.6015625,35.024096578446
59,20,59,59,699.6015625,45.5335729583884
60.001,18,60,60,699.6015625,51.1026848461876
61,27,61,61,699.6015625,52.0322027302698
62.001,32,62,62,699.213541666667,32.0419011941916
63.001,28,63,63,698.825520833333,42.9743572010581
64,20,64,64,698.4375,44.9809101017528
65,24,65,65,699.6015625,36.047571980743
66.001,29,66,66,699.989583333333,42.1713307973567
67,16,67,67,699.213541666667,37.747110347682
68.001,14,68,68,699.6015625,46.6560290920337
69.001,29,69,69,698.825520833333,47.0351729022963
70,21,70,70,698.825520833333,41.0679988385526
71,18,71,71,698.825520833333,45.5460718512612
72.001,28,72,72,699.213541666667,51.0780319093479
73.001,19,73,73,699.6015625,51.098767919838
74.001,15,74,74,699.6015625,47.9559572488626
75,22,75,75,699.6015625,47.0563217114564
76,20,76,76,699.213541666667,40.0247753359329
77,18,77,77,699.213541666667,44.4397634560271
78,16,78,78,699.213541666667,38.9177162724851
79.001,23,79,79,698.825520833333,38.8608011653799
80,24,80,80,699.6015625,42.1896939681728
81,18,81,81,698.825520833333,51.0696743567249
82.001,15,82,82,699.6015625,43.0264698842728
83,16,83,83,699.6015625,52.1294029242377
84.001,15,84,84,700.765625,57.0610896025285
85,18,85,85,699.6015625,48.8783691776559
86,24,86,86,699.213541666667,35.9989488306941
87,18,87,87,699.6015625,42.1608360449408
88.001,16,88,88,699.6015625,42.2203739080756
89.001,19,89,89,699.6015625,47.0420132220086
90,22,90,90,699.6015625,41.0777924572291
91,20,91,91,699.6015625,40.0880333211733
92.001,24,92,92,699.6015625,43.2784802639588
92.999,33,93,93,699.213541666667,34.4060472956625
94,19,94,94,699.213541666667,59.9954070182849
95,16,95,95,699.213541666667,50.0173460155982
96,18,96,96,699.6015625,39.0511765668909
97,18,97,97,698.4375,40.9332746689621
98,19,98,98,699.6015625,46.5786898723178
99,28,99,99,699.6015625,45.5024390417142
100,19,100,100,699.6015625,32.9986140582096
,14,101,101,,
,26,102,102,,
,15,103,103,,
,24,104,104,,
,17,105,105,,
,17,106,106,,
,22,107,107,,
,20,108,108,,
,22,109,109,,
,15,110,110,,
,20,111,111,,
,16,112,112,,
,11,113,113,,
,26,114,114,,
,21,115,115,,
,14,116,116,,
,15,117,117,,
,16,118,118,,
,20,119,119,,
,15,120,120,,
,17,121,121,,
,17,122,122,,
,18,123,123,,
,17,124,124,,
,18,125,125,,
,29,126,126,,
,24,127,127,,
,34,128,128,,
,19,129,129,,
,19,130,130,,
,28,131,131,,
,25,132,132,,
,25,133,133,,
,29,134,134,,
,29,135,135,,
,33,136,136,,
,24,137,137,,
,19,138,138,,
,18,139,139,,
,26,140,140,,
,24,141,141,,
,16,142,142,,
,10,143,143,,
,20,144,144,,
,18,145,145,,
,14,146,146,,
,12,147,147,,
,12,148,148,,
,19,149,149,,
,10,150,150,,
,13,151,151,,
,15,152,152,,
,10,153,153,,
,10,154,154,,
,13,155,155,,
,15,156,156,,
,21,157,157,,
,29,158,158,,
,34,159,159,,
,51,160,160,,
,57,161,161,,
,94,162,162,,
,88,163,163,,
,100,164,164,,
,108,165,165,,
,100,166,166,,
,87,167,167,,
,66,168,168,,
,46,169,169,,
,34,170,170,,
,24,171,171,,
,11,172,172,,
,9,173,173,,
,5,174,174,,
,2,175,175,,
,4,176,176,,
,1,177,177,,
