Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Raw
168.001,3,168,168,10.00782812,698.4375,18
169,2.666666667,169,169,9.989380179,698.4375,16
170,4,170,170,18.9999829,698.4375,24
171,3.833333333,171,171,17.98477229,698.4375,23
172.001,2.833333333,172,172,19.05382515,698.4375,17
173,3.666666667,173,173,12.18188664,698.4375,22
174,3,174,174,9.005875433,698.4375,18
175,4.166666667,175,175,10.01322647,698.4375,25
176.001,2.833333333,176,176,16.64691418,698.4375,17
177,2.5,177,177,6.005193892,698.4375,15
178,4.333333333,178,178,11.09729005,698.4375,26
179,1.833333333,179,179,5.549051451,698.4375,11
180,3.166666667,180,180,11.02465775,698.4375,19
181.001,2.833333333,181,181,17.00266942,698.4375,17
182,2.166666667,182,182,11.10255351,698.4375,13
183.001,3.833333333,183,183,12.99473323,698.4375,23
184,2.333333333,184,184,15.01031809,698.4375,14
185,3,185,185,10.99825348,698.4375,18
186.001,4,186,186,17.76954653,698.4375,24
187.001,3,187,187,16.64908154,698.4375,18
188.001,4.833333333,188,188,12.02170158,698.4375,29
189.001,2,189,189,8.880098578,698.4375,12
190,2.5,190,190,16.00753315,698.4375,15
191,3,191,191,13.32807467,698.4375,18
192,2.333333333,192,192,14.01359459,698.4375,14
193,2.833333333,193,193,11.98688156,698.4375,17
194.001,2.833333333,194,194,10.01006011,698.4375,17
195,2.166666667,195,195,13.01175221,698.4375,13
196,2.833333333,196,196,7.772811815,698.4375,17
197.001,2.166666667,197,197,21.00271775,698.4375,13
198,1.5,198,198,18.98675863,698.4375,9
199.001,2.833333333,199,199,10.02258489,698.4375,17
200,2.833333333,200,200,14.42351112,698.4375,17
200.999,1.5,201,201,18.86694872,698.4375,9
202,2.166666667,202,202,8.995694661,698.4375,13
203.001,2.833333333,203,203,12.01024714,698.4375,17
204,1.666666667,204,204,12.21017214,698.4375,10
205.001,2.666666667,205,205,11.00911665,698.4375,16
206.001,1.5,206,206,14.99759589,698.0494792,9
207,1.833333333,207,207,12.00739415,698.4375,11
208,3.166666667,208,208,6.658936381,698.4375,19
209,1.666666667,209,209,15.0042372,698.4375,10
210.001,3.5,210,210,3.999762814,698.4375,21
211,2,211,211,10.9928909,698.4375,12
212,3.333333333,212,212,12.00682348,698.4375,20
213,2.166666667,213,213,13.01150347,698.4375,13
214,1.666666667,214,214,15.54138872,698.4375,10
215.001,1.666666667,215,215,19.99805419,698.4375,10
216,2.166666667,216,216,15.00937335,698.0494792,13
217,3.666666667,217,217,16.99845314,698.4375,22
218.001,1.333333333,218,218,6.996075901,698.4375,8
219,2.333333333,219,219,19.01393912,698.4375,14
220.001,1.666666667,220,220,14.01807912,698.4375,10
221,1.5,221,221,11.08418639,698.4375,9
222,2,222,222,18.00663004,698.4375,12
223,3.333333333,223,223,7.770114718,698.4375,20
224,1.833333333,224,224,15.55480201,698.4375,11
225.001,1.5,225,225,19.98506316,698.4375,9
226.001,3.166666667,226,226,9.997849463,698.4375,19
227.001,2.5,227,227,9.998901232,698.4375,15
228.001,0.666666667,228,228,13.99916285,698.4375,4
229.001,1.166666667,229,229,15.00833713,698.4375,7
230.001,2.333333333,230,230,14.00182724,698.4375,14
231,2.666666667,231,231,13.33136918,698.4375,16
232,2.166666667,232,232,8.888062299,698.4375,13
233.001,1.5,233,233,6.999496036,698.4375,9
234,2.166666667,234,234,8.884716034,698.4375,13
235,2,235,235,14.01520229,698.4375,12
236,2,236,236,8.883805378,698.4375,12
237.001,2.333333333,237,237,10.003161,698.4375,14
238,1.166666667,238,238,8.885370282,698.4375,7
239.001,1.833333333,239,239,8.886061147,698.4375,11
240.001,1,240,240,23.00163082,698.4375,6
241.001,2,241,241,16.02986845,698.4375,12
242,1,242,242,8.864840546,698.4375,6
243,2.166666667,243,243,19.00542415,698.4375,13
244,1.5,244,244,8.886422413,698.4375,9
245,2.166666667,245,245,12.21624441,698.4375,13
246,3.5,246,246,8.010730373,698.4375,21
247,1.833333333,247,247,18.85479523,700.765625,11
248,2.833333333,248,248,14.00970032,698.4375,17
248.999,1.333333333,249,249,12.20806223,698.4375,8
250.001,1.166666667,250,250,16.99825258,698.4375,7
251,3.166666667,251,251,25.53755442,698.4375,19
252,1.833333333,252,252,16.01907712,698.4375,11
253,0.833333333,253,253,18.88612102,698.4375,5
253.999,1.833333333,254,254,12.21869238,698.8255208,11
255.001,2.666666667,255,255,11.1082168,698.4375,16
256.001,1.166666667,256,256,12.00793965,698.4375,7
256.999,1.833333333,257,257,7.006027285,698.4375,11
