Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s
66.001,5,66,66,699.6015625,16.6235230830917
67,3,67,67,699.6015625,24.0419556167468
68.001,3,68,68,699.6015625,9.97940804590883
69,4,69,69,699.213541666667,18.0239736874016
70,4,70,70,699.6015625,21.0795059052572
71,6,71,71,698.825520833333,19.0214047868066
72.001,5,72,72,699.213541666667,24.412447862779
73,1,73,73,699.213541666667,31.0563206374761
74,3,74,74,698.4375,22.2000443778887
75,3,75,75,698.825520833333,25.9767040917705
76.001,4,76,76,698.825520833333,29.0431814021087
77,4,77,77,698.825520833333,25.5216797792619
78.001,6,78,78,699.213541666667,23.016744681756
79.001,7,79,79,698.825520833333,19.9746100512238
80.001,3,80,80,699.6015625,33.0236151872204
81,4,81,81,699.6015625,31.0200296331341
82,7,82,82,699.6015625,24.0114174289875
83,3,83,83,699.6015625,17.7627347151113
84.001,5,84,84,700.765625,19.983224083382
85.001,2,85,85,699.6015625,26.0216265738455
86,5,86,86,699.213541666667,21.9759912295817
87.001,2,87,87,698.825520833333,22.0641094764949
88,5,88,88,698.825520833333,24.4340436865152
89.001,3,89,89,699.6015625,22.1794085705449
90.001,2,90,90,699.6015625,21.0320191459478
91.001,1,91,91,699.6015625,19.977906655007
92.001,6,92,92,698.825520833333,22.2100091849493
93,2,93,93,699.6015625,22.03045269476
94.001,4,94,94,698.825520833333,15.008475285994
95,1,95,95,699.213541666667,16.6596659048387
96,3,96,96,699.213541666667,23.9720701410786
97.001,3,97,97,699.989583333333,21.0062934855283
98.001,5,98,98,699.213541666667,25.0255510876605
99.001,3,99,99,699.6015625,22.2138253962225
100,7,100,100,699.6015625,14.4174757550737
,5,101,101,,
,0,102,102,,
,1,103,103,,
,2,104,104,,
,0,105,105,,
,3,106,106,,
,1,107,107,,
,1,108,108,,
,3,109,109,,
,4,110,110,,
,2,111,111,,
,2,112,112,,
,1,113,113,,
,4,114,114,,
,4,115,115,,
,4,116,116,,
,2,117,117,,
,3,118,118,,
,3,119,119,,
,0,120,120,,
,5,121,121,,
,2,122,122,,
,0,123,123,,
,3,124,124,,
,1,125,125,,
,5,126,126,,
,5,127,127,,
,1,128,128,,
,2,129,129,,
,3,130,130,,
,4,131,131,,
,2,132,132,,
,1,133,133,,
,1,134,134,,
,2,135,135,,
,2,136,136,,
,3,137,137,,
,0,138,138,,
,2,139,139,,
,4,140,140,,
,4,141,141,,
,3,142,142,,
,3,143,143,,
,0,144,144,,
,3,145,145,,
,4,146,146,,
,3,147,147,,
,1,148,148,,
,0,149,149,,
,6,150,150,,
,2,151,151,,
,2,152,152,,
,4,153,153,,
,4,154,154,,
,2,155,155,,
,4,156,156,,
,6,157,157,,
,3,158,158,,
,4,159,159,,
,2,160,160,,
,4,161,161,,
,3,162,162,,
,2,163,163,,
,2,164,164,,
,2,165,165,,
,1,166,166,,
,2,167,167,,
,3,168,168,,
,3,169,169,,
,2,170,170,,
,0,171,171,,
,4,172,172,,
,5,173,173,,
,3,174,174,,
,2,175,175,,
,5,176,176,,
,6,177,177,,
,1,178,178,,
,0,179,179,,
,3,180,180,,
,0,181,181,,
,3,182,182,,
,2,183,183,,
,3,184,184,,
,0,185,185,,
,3,186,186,,
,1,187,187,,
,0,188,188,,
,2,189,189,,
,5,190,190,,
,2,191,191,,
,1,192,192,,
,2,193,193,,
,0,194,194,,
,3,195,195,,
,1,196,196,,
,1,197,197,,
,2,198,198,,
,1,199,199,,
,0,200,200,,
,1,201,201,,
,4,202,202,,
,1,203,203,,
,3,204,204,,
,1,205,205,,
,2,206,206,,
,3,207,207,,
,1,208,208,,
,0,209,209,,
,2,210,210,,
,0,211,211,,
,0,212,212,,
,4,213,213,,
,0,214,214,,
,0,215,215,,
,1,216,216,,
,2,217,217,,
,0,218,218,,
,0,219,219,,
,0,220,220,,
,2,221,221,,
,0,222,222,,
,0,223,223,,
,0,224,224,,
,3,225,225,,
,0,226,226,,
,0,227,227,,
,1,228,228,,
,1,229,229,,
,0,230,230,,
,0,231,231,,
,2,232,232,,
,0,233,233,,
,2,234,234,,
,1,235,235,,
,0,236,236,,
,0,237,237,,
,0,238,238,,
,0,239,239,,
,0,240,240,,
,1,241,241,,
,1,242,242,,
,0,243,243,,
,0,244,244,,
,1,245,245,,
,0,246,246,,
,0,247,247,,
,0,248,248,,
,0,249,249,,
,0,250,250,,
,0,251,251,,
,0,252,252,,
,0,253,253,,
,0,254,254,,
,0,255,255,,
,1,256,256,,
,0,257,257,,
,0,258,258,,
,0,259,259,,
,0,260,260,,
,0,261,261,,
,0,262,262,,
,0,263,263,,
,0,264,264,,
,0,265,265,,
,0,266,266,,
,0,267,267,,
,0,268,268,,
,0,269,269,,
,0,270,270,,
,0,271,271,,
,0,272,272,,
,0,273,273,,
,0,274,274,,
,0,275,275,,
,0,276,276,,
,0,277,277,,
,0,278,278,,
,0,279,279,,
,1,280,280,,
,1,281,281,,
,0,282,282,,
,0,283,283,,
,1,284,284,,
,0,285,285,,
,0,286,286,,
,0,287,287,,
,0,288,288,,
,0,289,289,,
,0,290,290,,
,0,291,291,,
,0,292,292,,
,0,293,293,,
,0,294,294,,
,0,295,295,,
,0,296,296,,
,0,297,297,,
,0,298,298,,
,0,299,299,,
,0,300,300,,
,0,301,301,,
,0,302,302,,
,0,303,303,,
,0,304,304,,
,0,305,305,,
,0,306,306,,
,2,307,307,,
,0,308,308,,
,0,309,309,,
,0,310,310,,
,0,311,311,,
,0,312,312,,
,0,313,313,,
,0,314,314,,
,0,315,315,,
,0,316,316,,
,1,317,317,,
,0,318,318,,
,0,319,319,,
,0,320,320,,
,0,321,321,,
,0,322,322,,
,0,323,323,,
,0,324,324,,
,0,325,325,,
,0,326,326,,
,0,327,327,,
,0,328,328,,
,0,329,329,,
,0,330,330,,
